Q,A
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userService.,selectUserById
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userService.selectUserById,(
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userService.selectUserById(,userId
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userService.selectUserById(userId,)
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userService.selectUserById(userId),)
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userService.selectUserById(userId)),;
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userService.selectUserById(userId));,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,"roleIds"
ajax.put("roleIds",@COMMA_CHAR_REPLACE
ajax.put("roleIds"@COMMA_CHAR_REPLACE, 
ajax.put("roleIds"@COMMA_CHAR_REPLACE ,roleService
ajax.put("roleIds"@COMMA_CHAR_REPLACE roleService,.
ajax.put("roleIds"@COMMA_CHAR_REPLACE roleService.,selectRoleListByUserId
ajax.put("roleIds"@COMMA_CHAR_REPLACE roleService.selectRoleListByUserId,(
ajax.put("roleIds"@COMMA_CHAR_REPLACE roleService.selectRoleListByUserId(,userId
ajax.put("roleIds"@COMMA_CHAR_REPLACE roleService.selectRoleListByUserId(userId,)
ajax.put("roleIds"@COMMA_CHAR_REPLACE roleService.selectRoleListByUserId(userId),)
ajax.put("roleIds"@COMMA_CHAR_REPLACE roleService.selectRoleListByUserId(userId)),;
ajax.put("roleIds"@COMMA_CHAR_REPLACE roleService.selectRoleListByUserId(userId));,PARAM_END
return ,ajax
return ajax,;
return ajax;,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('system:user:add')"
@PreAuthorize("@ss.hasPermi('system:user:add')",)
@PreAuthorize("@ss.hasPermi('system:user:add')"),PARAM_END
@Log,(
@Log(,title
@Log(title, 
@Log(title ,=
@Log(title =, 
@Log(title = ,"用户管理"
@Log(title = "用户管理",@COMMA_CHAR_REPLACE
@Log(title = "用户管理"@COMMA_CHAR_REPLACE, 
@Log(title = "用户管理"@COMMA_CHAR_REPLACE ,businessType
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType, 
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType ,=
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType =, 
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = ,BusinessType
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = BusinessType,.
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = BusinessType.,INSERT
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = BusinessType.INSERT,)
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = BusinessType.INSERT),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,add
public AjaxResult add,(
public AjaxResult add(,@
public AjaxResult add(@,Validated
public AjaxResult add(@Validated, 
public AjaxResult add(@Validated ,@
public AjaxResult add(@Validated @,RequestBody
public AjaxResult add(@Validated @RequestBody, 
public AjaxResult add(@Validated @RequestBody ,SysUser
public AjaxResult add(@Validated @RequestBody SysUser, 
public AjaxResult add(@Validated @RequestBody SysUser ,user
public AjaxResult add(@Validated @RequestBody SysUser user,)
public AjaxResult add(@Validated @RequestBody SysUser user), 
public AjaxResult add(@Validated @RequestBody SysUser user) ,{
public AjaxResult add(@Validated @RequestBody SysUser user) {,PARAM_END
if ,(
if (,UserConstants
if (UserConstants,.
if (UserConstants.,NOT_UNIQUE
if (UserConstants.NOT_UNIQUE,.
if (UserConstants.NOT_UNIQUE.,equals
if (UserConstants.NOT_UNIQUE.equals,(
if (UserConstants.NOT_UNIQUE.equals(,userService
if (UserConstants.NOT_UNIQUE.equals(userService,.
if (UserConstants.NOT_UNIQUE.equals(userService.,checkUserNameUnique
if (UserConstants.NOT_UNIQUE.equals(userService.checkUserNameUnique,(
if (UserConstants.NOT_UNIQUE.equals(userService.checkUserNameUnique(,user
if (UserConstants.NOT_UNIQUE.equals(userService.checkUserNameUnique(user,.
if (UserConstants.NOT_UNIQUE.equals(userService.checkUserNameUnique(user.,getUserName
if (UserConstants.NOT_UNIQUE.equals(userService.checkUserNameUnique(user.getUserName,(
if (UserConstants.NOT_UNIQUE.equals(userService.checkUserNameUnique(user.getUserName(,)
if (UserConstants.NOT_UNIQUE.equals(userService.checkUserNameUnique(user.getUserName(),)
if (UserConstants.NOT_UNIQUE.equals(userService.checkUserNameUnique(user.getUserName()),)
if (UserConstants.NOT_UNIQUE.equals(userService.checkUserNameUnique(user.getUserName())),)
if (UserConstants.NOT_UNIQUE.equals(userService.checkUserNameUnique(user.getUserName()))), 
if (UserConstants.NOT_UNIQUE.equals(userService.checkUserNameUnique(user.getUserName()))) ,{
if (UserConstants.NOT_UNIQUE.equals(userService.checkUserNameUnique(user.getUserName()))) {,PARAM_END
return ,AjaxResult
return AjaxResult,.
return AjaxResult.,error
return AjaxResult.error,(
return AjaxResult.error(,"新增用户'"
return AjaxResult.error("新增用户'", 
return AjaxResult.error("新增用户'" ,+
return AjaxResult.error("新增用户'" +, 
return AjaxResult.error("新增用户'" + ,user
return AjaxResult.error("新增用户'" + user,.
return AjaxResult.error("新增用户'" + user.,getUserName
return AjaxResult.error("新增用户'" + user.getUserName,(
return AjaxResult.error("新增用户'" + user.getUserName(,)
return AjaxResult.error("新增用户'" + user.getUserName(), 
return AjaxResult.error("新增用户'" + user.getUserName() ,+
return AjaxResult.error("新增用户'" + user.getUserName() +, 
return AjaxResult.error("新增用户'" + user.getUserName() + ,"'失败，登录账号已存在"
return AjaxResult.error("新增用户'" + user.getUserName() + "'失败，登录账号已存在",)
return AjaxResult.error("新增用户'" + user.getUserName() + "'失败，登录账号已存在"),;
return AjaxResult.error("新增用户'" + user.getUserName() + "'失败，登录账号已存在");,PARAM_END
} ,else
} else, 
} else ,if
} else if, 
} else if ,(
} else if (,StringUtils
} else if (StringUtils,.
} else if (StringUtils.,isNotEmpty
} else if (StringUtils.isNotEmpty,(
} else if (StringUtils.isNotEmpty(,user
} else if (StringUtils.isNotEmpty(user,.
} else if (StringUtils.isNotEmpty(user.,getPhoneNumber
} else if (StringUtils.isNotEmpty(user.getPhoneNumber,(
} else if (StringUtils.isNotEmpty(user.getPhoneNumber(,)
} else if (StringUtils.isNotEmpty(user.getPhoneNumber(),)
} else if (StringUtils.isNotEmpty(user.getPhoneNumber()),PARAM_END
&&, 
&& ,UserConstants
&& UserConstants,.
&& UserConstants.,NOT_UNIQUE
&& UserConstants.NOT_UNIQUE,.
&& UserConstants.NOT_UNIQUE.,equals
&& UserConstants.NOT_UNIQUE.equals,(
&& UserConstants.NOT_UNIQUE.equals(,userService
&& UserConstants.NOT_UNIQUE.equals(userService,.
&& UserConstants.NOT_UNIQUE.equals(userService.,checkPhoneUnique
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique,(
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(,user
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(user,)
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(user),)
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(user)),)
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(user))), 
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(user))) ,{
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(user))) {,PARAM_END
return ,AjaxResult
return AjaxResult,.
return AjaxResult.,error
return AjaxResult.error,(
return AjaxResult.error(,"新增用户'"
return AjaxResult.error("新增用户'", 
return AjaxResult.error("新增用户'" ,+
return AjaxResult.error("新增用户'" +, 
return AjaxResult.error("新增用户'" + ,user
return AjaxResult.error("新增用户'" + user,.
return AjaxResult.error("新增用户'" + user.,getUserName
return AjaxResult.error("新增用户'" + user.getUserName,(
return AjaxResult.error("新增用户'" + user.getUserName(,)
return AjaxResult.error("新增用户'" + user.getUserName(), 
return AjaxResult.error("新增用户'" + user.getUserName() ,+
return AjaxResult.error("新增用户'" + user.getUserName() +, 
return AjaxResult.error("新增用户'" + user.getUserName() + ,"'失败，手机号码已存在"
return AjaxResult.error("新增用户'" + user.getUserName() + "'失败，手机号码已存在",)
return AjaxResult.error("新增用户'" + user.getUserName() + "'失败，手机号码已存在"),;
return AjaxResult.error("新增用户'" + user.getUserName() + "'失败，手机号码已存在");,PARAM_END
} ,else
} else, 
} else ,if
} else if, 
} else if ,(
} else if (,StringUtils
} else if (StringUtils,.
} else if (StringUtils.,isNotEmpty
} else if (StringUtils.isNotEmpty,(
} else if (StringUtils.isNotEmpty(,user
} else if (StringUtils.isNotEmpty(user,.
} else if (StringUtils.isNotEmpty(user.,getEmail
} else if (StringUtils.isNotEmpty(user.getEmail,(
} else if (StringUtils.isNotEmpty(user.getEmail(,)
} else if (StringUtils.isNotEmpty(user.getEmail(),)
} else if (StringUtils.isNotEmpty(user.getEmail()),PARAM_END
&&, 
&& ,UserConstants
&& UserConstants,.
&& UserConstants.,NOT_UNIQUE
&& UserConstants.NOT_UNIQUE,.
&& UserConstants.NOT_UNIQUE.,equals
&& UserConstants.NOT_UNIQUE.equals,(
&& UserConstants.NOT_UNIQUE.equals(,userService
&& UserConstants.NOT_UNIQUE.equals(userService,.
&& UserConstants.NOT_UNIQUE.equals(userService.,checkEmailUnique
&& UserConstants.NOT_UNIQUE.equals(userService.checkEmailUnique,(
&& UserConstants.NOT_UNIQUE.equals(userService.checkEmailUnique(,user
&& UserConstants.NOT_UNIQUE.equals(userService.checkEmailUnique(user,)
&& UserConstants.NOT_UNIQUE.equals(userService.checkEmailUnique(user),)
&& UserConstants.NOT_UNIQUE.equals(userService.checkEmailUnique(user)),)
&& UserConstants.NOT_UNIQUE.equals(userService.checkEmailUnique(user))), 
&& UserConstants.NOT_UNIQUE.equals(userService.checkEmailUnique(user))) ,{
&& UserConstants.NOT_UNIQUE.equals(userService.checkEmailUnique(user))) {,PARAM_END
return ,AjaxResult
return AjaxResult,.
return AjaxResult.,error
return AjaxResult.error,(
return AjaxResult.error(,"新增用户'"
return AjaxResult.error("新增用户'", 
return AjaxResult.error("新增用户'" ,+
return AjaxResult.error("新增用户'" +, 
return AjaxResult.error("新增用户'" + ,user
return AjaxResult.error("新增用户'" + user,.
return AjaxResult.error("新增用户'" + user.,getUserName
return AjaxResult.error("新增用户'" + user.getUserName,(
return AjaxResult.error("新增用户'" + user.getUserName(,)
return AjaxResult.error("新增用户'" + user.getUserName(), 
return AjaxResult.error("新增用户'" + user.getUserName() ,+
return AjaxResult.error("新增用户'" + user.getUserName() +, 
return AjaxResult.error("新增用户'" + user.getUserName() + ,"'失败，邮箱账号已存在"
return AjaxResult.error("新增用户'" + user.getUserName() + "'失败，邮箱账号已存在",)
return AjaxResult.error("新增用户'" + user.getUserName() + "'失败，邮箱账号已存在"),;
return AjaxResult.error("新增用户'" + user.getUserName() + "'失败，邮箱账号已存在");,PARAM_END
user.,setCreateBy
user.setCreateBy,(
user.setCreateBy(,SecurityUtils
user.setCreateBy(SecurityUtils,.
user.setCreateBy(SecurityUtils.,getUsername
user.setCreateBy(SecurityUtils.getUsername,(
user.setCreateBy(SecurityUtils.getUsername(,)
user.setCreateBy(SecurityUtils.getUsername(),)
user.setCreateBy(SecurityUtils.getUsername()),;
user.setCreateBy(SecurityUtils.getUsername());,PARAM_END
user.,setPassword
user.setPassword,(
user.setPassword(,SecurityUtils
user.setPassword(SecurityUtils,.
user.setPassword(SecurityUtils.,encryptPassword
user.setPassword(SecurityUtils.encryptPassword,(
user.setPassword(SecurityUtils.encryptPassword(,user
user.setPassword(SecurityUtils.encryptPassword(user,.
user.setPassword(SecurityUtils.encryptPassword(user.,getPassword
user.setPassword(SecurityUtils.encryptPassword(user.getPassword,(
user.setPassword(SecurityUtils.encryptPassword(user.getPassword(,)
user.setPassword(SecurityUtils.encryptPassword(user.getPassword(),)
user.setPassword(SecurityUtils.encryptPassword(user.getPassword()),)
user.setPassword(SecurityUtils.encryptPassword(user.getPassword())),;
user.setPassword(SecurityUtils.encryptPassword(user.getPassword()));,PARAM_END
return ,toAjax
return toAjax,(
return toAjax(,userService
return toAjax(userService,.
return toAjax(userService.,insertUser
return toAjax(userService.insertUser,(
return toAjax(userService.insertUser(,user
return toAjax(userService.insertUser(user,)
return toAjax(userService.insertUser(user),)
return toAjax(userService.insertUser(user)),;
return toAjax(userService.insertUser(user));,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('system:user:edit')"
@PreAuthorize("@ss.hasPermi('system:user:edit')",)
@PreAuthorize("@ss.hasPermi('system:user:edit')"),PARAM_END
@Log,(
@Log(,title
@Log(title, 
@Log(title ,=
@Log(title =, 
@Log(title = ,"用户管理"
@Log(title = "用户管理",@COMMA_CHAR_REPLACE
@Log(title = "用户管理"@COMMA_CHAR_REPLACE, 
@Log(title = "用户管理"@COMMA_CHAR_REPLACE ,businessType
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType, 
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType ,=
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType =, 
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = ,BusinessType
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = BusinessType,.
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = BusinessType.,UPDATE
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = BusinessType.UPDATE,)
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = BusinessType.UPDATE),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,edit
public AjaxResult edit,(
public AjaxResult edit(,@
public AjaxResult edit(@,Validated
public AjaxResult edit(@Validated, 
public AjaxResult edit(@Validated ,@
public AjaxResult edit(@Validated @,RequestBody
public AjaxResult edit(@Validated @RequestBody, 
public AjaxResult edit(@Validated @RequestBody ,SysUser
public AjaxResult edit(@Validated @RequestBody SysUser, 
public AjaxResult edit(@Validated @RequestBody SysUser ,user
public AjaxResult edit(@Validated @RequestBody SysUser user,)
public AjaxResult edit(@Validated @RequestBody SysUser user), 
public AjaxResult edit(@Validated @RequestBody SysUser user) ,{
public AjaxResult edit(@Validated @RequestBody SysUser user) {,PARAM_END
userService.,checkUserAllowed
userService.checkUserAllowed,(
userService.checkUserAllowed(,user
userService.checkUserAllowed(user,)
userService.checkUserAllowed(user),;
userService.checkUserAllowed(user);,PARAM_END
if ,(
if (,StringUtils
if (StringUtils,.
if (StringUtils.,isNotEmpty
if (StringUtils.isNotEmpty,(
if (StringUtils.isNotEmpty(,user
if (StringUtils.isNotEmpty(user,.
if (StringUtils.isNotEmpty(user.,getPhoneNumber
if (StringUtils.isNotEmpty(user.getPhoneNumber,(
if (StringUtils.isNotEmpty(user.getPhoneNumber(,)
if (StringUtils.isNotEmpty(user.getPhoneNumber(),)
if (StringUtils.isNotEmpty(user.getPhoneNumber()),PARAM_END
&&, 
&& ,UserConstants
&& UserConstants,.
&& UserConstants.,NOT_UNIQUE
&& UserConstants.NOT_UNIQUE,.
&& UserConstants.NOT_UNIQUE.,equals
&& UserConstants.NOT_UNIQUE.equals,(
&& UserConstants.NOT_UNIQUE.equals(,userService
&& UserConstants.NOT_UNIQUE.equals(userService,.
&& UserConstants.NOT_UNIQUE.equals(userService.,checkPhoneUnique
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique,(
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(,user
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(user,)
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(user),)
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(user)),)
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(user))), 
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(user))) ,{
&& UserConstants.NOT_UNIQUE.equals(userService.checkPhoneUnique(user))) {,PARAM_END
return ,AjaxResult
return AjaxResult,.
return AjaxResult.,error
return AjaxResult.error,(
return AjaxResult.error(,"修改用户'"
return AjaxResult.error("修改用户'", 
return AjaxResult.error("修改用户'" ,+
return AjaxResult.error("修改用户'" +, 
return AjaxResult.error("修改用户'" + ,user
return AjaxResult.error("修改用户'" + user,.
return AjaxResult.error("修改用户'" + user.,getUserName
return AjaxResult.error("修改用户'" + user.getUserName,(
return AjaxResult.error("修改用户'" + user.getUserName(,)
return AjaxResult.error("修改用户'" + user.getUserName(), 
return AjaxResult.error("修改用户'" + user.getUserName() ,+
